OBJECTID *,Shape *,Bundesland-ID,Bundesland,Geo_ID,Kürzel,Formation,Petrographie,Subgruppe,Gruppe,Subserie,Serie,Subsystem,System,Shape_Length,Shape_Area
102,Polygon,1,Hessen,31,km,ungegliedert,"Ton-Schluffstein, Sandstein, Dolomitmergelstein und Gips/Anhydrit",Mittlerer,Keuper, ,Obertrias, ,Germanische Trias,253449.4468,40644718.7
103,Polygon,1,Hessen,32,ku,ungegliedert,"Ton-Schluffstein, Dolomit, Sandstein",Unterer,Keuper, ,Obertrias, ,Germanische Trias,430725.3131,56647982
104,Polygon,1,Hessen,33,k,ungegliedert,"Ton-Schluffstein, Sandstein, Dolomit, Dolomitmergelstein",ungegliedert,Keuper, ,Obertrias, ,Germanische Trias,53527.37658,6540201.017
105,Polygon,1,Hessen,34,mo,ungegliedert,"Kalkstein, Mergelstein, Tonstein",Oberer,Muschelkalk, ,Mitteltrias, ,Germanische Trias,707815.9847,105968897.4
106,Polygon,2,andere,34,mo,ungegliedert,"Kalkstein, Mergelstein, Tonstein",Oberer,Muschelkalk, ,Mitteltrias, ,Germanische Trias,34554.75587,2555088.174
107,Polygon,1,Hessen,35,mm,ungegliedert,"Tonstein, Mergelstein, Dolomit, Kalkstein, örtl. Gipsstein",Mittlerer,Muschelkalk, ,Mitteltrias, ,Germanische Trias,730113.6808,82936942.17
108,Polygon,2,andere,35,mm,ungegliedert,"Tonstein, Mergelstein, Dolomit, Kalkstein, örtl. Gipsstein",Mittlerer,Muschelkalk, ,Mitteltrias, ,Germanische Trias,26553.25567,1443068.009
109,Polygon,1,Hessen,36,mu,ungegliedert,"Kalkstein, Mergelstein",Unterer,Muschelkalk, ,Mitteltrias, ,Germanische Trias,1960780.269,386399904.9
110,Polygon,2,andere,36,mu,ungegliedert,"Kalkstein, Mergelstein",Unterer,Muschelkalk, ,Mitteltrias, ,Germanische Trias,94408.01689,9139249.802
111,Polygon,1,Hessen,37,m,ungegliedert,"Kalkstein, Mergelstein, Dolomit, Tonstein",ungegliedert,Muschelkalk, ,Mitteltrias, ,Germanische Trias,101510.1348,11437552.83
112,Polygon,2,andere,46,ro,ungegliedert,"Konglomerat, Sandstein, (z.T. Arkose), Schluff- u. Tonstein, rhyolithischer Tuff, z.T. Kalkstein",Ober-,Rotliegend, ,Unterperm, ,Mitteleuropäische Perm (Dyas),15944.64049,2099738.049
113,Polygon,2,andere,5,qpTELST,Laacher See Tephra,Phonolitische Aschenablagerungen, , , ,Pleistozän, ,Quartär,1657.550805,135057.4925
114,Polygon,2,andere,54,"cd3,tg","Kulmgrauwacke, Kulmtonschiefer, Kulmplattenkalk","Tonschiefer, Grauwacke, Konglomerat, Kalkstein", ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,7691.653559,593808.0089
115,Polygon,1,Hessen,55,"cd1-3,ti","Kieselige Übergangsschiefer, Kulmkieselschiefer, Liegende Alaunschiefer","Kieselschiefer, Kieselkalkstein, Schwarzschiefer", ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,1032821.488,128887878.9
116,Polygon,2,andere,55,"cd1-3,ti","Kieselige Übergangsschiefer, Kulmkieselschiefer, Liegende Alaunschiefer","Kieselschiefer, Kieselkalkstein, Schwarzschiefer", ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,10003.90873,566112.3354
117,Polygon,1,Hessen,56,"cd2,q",Kammquarzit-Formation,Quarzit, ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,110587.4602,20283637.48
118,Polygon,2,andere,60,do,"Oberdevon, ungegliedert","Tonschiefer, Sandstein, Grauwacke, Quarzit, Kalkstein", , , ,Oberdevon, ,Devon,19177.48762,4400539.576
119,Polygon,1,Hessen,62,dv,"Givet-Stufe, ungegliedert","Tonschiefer, Sandstein, Kieselschiefer", ,Givetium, ,Mitteldevon, ,Devon,436983.3585,92552537.08
120,Polygon,2,andere,62,dv,"Givet-Stufe, ungegliedert","Tonschiefer, Sandstein, Kieselschiefer", ,Givetium, ,Mitteldevon, ,Devon,3342.290318,635759.0949
121,Polygon,2,andere,64,de,"Eifel-Stufe, ungegliedert","Tonschiefer, Quarzit, Grauwackensandstein", ,Eifelium, ,Mitteldevon, ,Devon,2412.170388,231514.7621
122,Polygon,1,Hessen,79,si,"Silur des Rheinischen Schiefergebirges, ungegliedert","Kalkstein, Tonschiefer (Gießen, Kellerwald)", , , , , ,Silur,14237.46221,1136806.142
123,Polygon,1,Hessen,97,ro-z,"Zechstein-Randfazies, ungegliedert","Konglomerat, Tonstein, Sandstein, Mergelstein, Dolomit", ,Zechstein, ,Oberperm, ,Mitteleuropäische Perm (Dyas),282384.3949,72332882.68
124,Polygon,1,Hessen,104,dK,Krofdorfer Schichten der Gießen-Decke,"Tonschiefer, Kieselschiefer", , , ,Oberdevon, ,Devon,33660.56173,5392914.86
125,Polygon,2,andere,14,tmiu-mV,Vulkanische Gesteine des Miozäns,"Trachyt, Phonolith", , , ,Miozän,Jungtertiär,Tertiär,1036.171867,44894.34161
126,Polygon,2,andere,18,tolo,"Oberoligozän, ungegliedert","Ton-Schluff, Sand, Mergel, Kalkstein", , , ,Oligozän,Alttertiär,Tertiär,2584.646829,147480.5556
127,Polygon,2,andere,21,t,"Tertiär, ungegliedert","Ton-Schluff, Sand-Kies, Mergel, Kalkstein, Braunkohle, Quarzit", , , , , ,Tertiär,5755.36864,1737346.392
128,Polygon,2,andere,29,ju,"Unterjura, ungegliedert","Tonstein, Kalkstein", , , ,Unterjura (Lias), ,Jura,8336.383458,811384.6303
129,Polygon,2,andere,31,km,ungegliedert,"Ton-Schluffstein, Sandstein, Dolomitmergelstein und Gips/Anhydrit",Mittlerer,Keuper, ,Obertrias, ,Germanische Trias,13545.91584,832198.3356
130,Polygon,2,andere,32,ku,ungegliedert,"Ton-Schluffstein, Dolomit, Sandstein",Unterer,Keuper, ,Obertrias, ,Germanische Trias,26793.0772,1694769.099
